record_id,Measurement_timestamp,Vehicle_speed_sensor,Vibration,Engine_Load,Engine_Coolant_Temp,Intake_Manifold_Pressure,Engine_RPM,Speed_OBD,Intake_Air_Temp,Mass_Air_Flow_Rate,Throttle_Pos_Manifold,Voltage_Control_Module,Ambient_air_temp,Accel_Pedal_Pos_D,Engine_Oil_Temp,Litres_Per_100km_Inst,CO2_in_g_per_km_Inst,Maintenance_flag
34,22FEB16:16:01:40,79,246.741199,99.21569,90,145,1251,79,11,29.38,80,14.22,6,34.901962,87,9.404172,248.74017,0
35,22FEB16:16:01:41,82,246.574312,99.21569,90,145,1290.5,82,11,25.05,80,14.22,6,29.803923,87,7.724844,204.32199,0
35,22FEB16:16:01:41,82,246.574312,99.21569,90,145,1290.5,82,11,25.05,80,14.22,6,29.803923,87,7.724844,204.32199,0
36,22FEB16:16:01:42,83,246.518683,99.21569,90,111,1298,83,11,25.05,79.60784,14.18,6,29.803923,87,7.724844,204.32199,0
37,22FEB16:16:01:43,83,246.518683,99.21569,90,122,1344,83,11,26.88,79.60784,14.18,6,35.686275,86,8.189304,216.60696,0
38,22FEB16:16:01:44,84,246.463054,15.686275,90,116,1344,84,11,26.88,79.21569,14.18,6,35.686275,86,8.189304,216.60696,0
38,22FEB16:16:01:44,84,246.463054,15.686275,90,116,1344,84,11,26.88,79.21569,14.18,6,35.686275,86,8.189304,216.60696,0
39,22FEB16:16:01:45,84,246.463054,15.686275,90,109,1305,84,11,22.19,80,14.16,6,36.862747,86,0,27.081282,0
40,22FEB16:16:01:46,84,246.463054,99.60784,90,122,1354,84,11,26.77,80,14.16,6,43.137257,86,1.235193,32.670837,0
41,22FEB16:16:01:47,86,246.351796,68.2353,90,139,1354,86,11,30.97,80,14.2,6,35.294117,86,6.096013,161.23943,0
42,22FEB16:16:01:48,88,246.240538,75.68628,90,126,1405,88,11,30.97,80,14.18,6,35.294117,86,6.096013,161.23943,0
43,22FEB16:16:01:49,90,246.12928,14.117647,90,111,1396,90,11,30.97,80,14.18,6,35.294117,86,6.096013,161.23943,0
44,22FEB16:16:01:50,90,246.12928,34.509804,90,107,1401.5,90,11,24.33,78.82353,14.18,6,33.333332,86,0,25.070793,0
45,22FEB16:16:01:51,90,246.12928,31.37255,90,106,1401.5,90,10,23.27,78.82353,14.26,6,28.62745,86,2.171475,57.43549,0
45,22FEB16:16:01:51,90,246.12928,31.37255,90,106,1401.5,90,10,23.27,78.82353,14.26,6,28.62745,86,2.171475,57.43549,0
46,22FEB16:16:01:52,90,246.12928,18.82353,90,106,1401.5,90,10,23.97,80,14.18,6,32.156864,86,2.033001,53.77284,0
47,22FEB16:16:01:53,90,246.12928,18.82353,90,109,1398.5,90,10,24.72,80,14.18,6,32.156864,86,1.268502,33.551865,0
48,22FEB16:16:01:54,90,246.12928,0,90,109,1393.5,90,10,24.94,80,14.28,6,14.901961,86,1.279792,33.850468,0
49,22FEB16:16:01:55,90,246.12928,0,90,110,1384.5,90,10,24.58,80,14.22,6,14.901961,86,0,0,0
50,22FEB16:16:01:56,90,246.12928,0,90,110,1363.5,90,10,24.49,80,14.22,6,14.901961,86,0,0,0
51,22FEB16:16:01:57,89,246.184909,0,90,112,1365.5,89,10,24.3,80,14.22,6,14.901961,86,0,0,0
52,22FEB16:16:01:58,89,246.184909,0,90,112,1362.5,89,10,24.3,80,14.22,6,14.901961,86,0,0,0
53,22FEB16:16:01:59,89,246.184909,0,90,112,1359,89,10,24.3,80,14.24,6,14.901961,86,0,0,0
54,22FEB16:16:02:00,89,246.184909,0,89,111,1358,89,10,24.3,80,14.26,6,14.901961,86,0,0,0
55,22FEB16:16:02:01,89,246.184909,0,89,111,1355,89,10,23.91,80,14.26,6,14.901961,86,0,0,0
56,22FEB16:16:02:02,88,246.240538,0,89,111,1348,88,10,23.88,80,14.22,6,14.901961,86,0,0,0
57,22FEB16:16:02:03,88,246.240538,0,89,110,1348,88,10,23.69,80,14.22,7,14.901961,86,0,0,0
58,22FEB16:16:02:04,87,246.296167,5.882353,89,111,1329,87,10,23.49,80,14.12,7,14.901961,86,0,0,0
59,22FEB16:16:02:05,86,246.351796,20.392157,88,113,1329,86,10,23.55,80,14.16,7,14.901961,86,1.36679,36.151566,0
60,22FEB16:16:02:06,85,246.407425,20.392157,88,113,1332.5,85,10,23.77,80,14.16,7,14.901961,86,1.379558,36.48929,0
61,22FEB16:16:02:07,85,246.407425,41.17647,88,113,1351.5,85,10,23.74,80,14.24,7,14.901961,86,1.813781,47.974476,0
61,22FEB16:16:02:07,85,246.407425,41.17647,88,113,1351.5,85,10,23.74,80,14.24,7,14.901961,86,1.813781,47.974476,0
62,22FEB16:16:02:08,85,246.407425,41.17647,88,107,1354,85,10,22.49,80,14.18,7,14.901961,86,2.656482,70.26389,0
63,22FEB16:16:02:09,85,246.407425,41.17647,88,106,1336.5,85,10,21.86,80,14.2,7,14.901961,86,2.582067,68.29563,0
63,22FEB16:16:02:09,85,246.407425,41.17647,88,106,1336.5,85,10,21.86,80,14.2,7,14.901961,86,2.582067,68.29563,0
64,22FEB16:16:02:10,85,246.407425,36.47059,88,106,1321.5,85,10,21.27,80,14.2,6,14.901961,86,2.512377,66.45234,0
64,22FEB16:16:02:10,85,246.407425,36.47059,88,106,1321.5,85,10,21.27,80,14.2,6,14.901961,86,2.512377,66.45234,0
65,22FEB16:16:02:11,85,246.407425,31.37255,88,104,1308,85,10,20.94,80,14.16,6,14.901961,86,2.187392,57.856476,0
66,22FEB16:16:02:12,83,246.518683,25.09804,88,104,1308,83,10,20.97,80,14.18,6,14.901961,86,1.883179,49.810043,0
67,22FEB16:16:02:13,83,246.518683,15.686275,88,106,1308,83,10,20.74,80,14.2,6,14.901961,86,0,25.616621,0
67,22FEB16:16:02:13,83,246.518683,15.686275,88,106,1308,83,10,20.74,80,14.2,6,14.901961,86,0,25.616621,0
68,22FEB16:16:02:14,80,246.68557,10.196078,88,107,1203,80,10,20.74,80,14.26,6,14.901961,86,0,25.616621,0
69,22FEB16:16:02:15,80,246.68557,3.921569,88,107,1161.5,80,10,19.27,80,14.2,7,14.901961,86,0,0,0
70,22FEB16:16:02:16,80,246.68557,3.921569,88,107,1161.5,80,10,18.33,80,14.22,7,14.901961,86,0,0,0
71,22FEB16:16:02:17,70,247.24186,0,88,106,1072.5,70,10,17.33,80,14.22,7,14.901961,85,0,0,0
72,22FEB16:16:02:18,64,247.575634,0,88,105,1176.5,64,9,17.13,80,14.16,7,14.901961,85,0,0,0
73,22FEB16:16:02:19,59,247.853779,0,87,106,1082.5,59,9,17.63,80,14.18,7,14.901961,85,0,0,0
74,22FEB16:16:02:20,55,248.076295,0,87,106,1009.5,55,9,15.77,80,14.2,7,14.901961,85,0,0,0
75,22FEB16:16:02:21,51,248.298811,7.843137,87,106,1009.5,51,9,18.86,80,14.2,7,22.352942,85,0,0,0
76,22FEB16:16:02:22,51,248.298811,7.843137,87,109,1227.5,51,9,21.69,72.54902,14.18,7,27.450981,85,0,22.935045,0
77,22FEB16:16:02:23,50,248.35444,80.78432,87,120,1223,50,9,23.13,80,14.16,7,27.058825,85,9.18422,242.92245,0
78,22FEB16:16:02:24,52,248.243182,80.78432,87,139,1289.5,52,9,27.08,80,14.24,7,23.92157,85,10.967698,290.09543,0
78,22FEB16:16:02:24,52,248.243182,80.78432,87,139,1289.5,52,9,27.08,80,14.24,7,23.92157,85,10.967698,290.09543,0
79,22FEB16:16:02:25,54,248.131924,77.254906,87,139,1289.5,54,10,29.94,80,14.24,7,15.686275,85,11.478227,303.5989,0
80,22FEB16:16:02:26,56,248.020666,68.2353,87,142,1289.5,56,10,29.94,80,14.22,7,15.686275,85,11.478227,303.5989,0
81,22FEB16:16:02:27,56,248.020666,80.78432,88,127,1399,56,10,27.61,80,14.16,7,14.901961,85,8.34606,220.75313,0
82,22FEB16:16:02:28,59,247.853779,80.78432,88,130,1430,59,9,27.61,80,14.26,7,14.901961,85,8.34606,220.75313,0
83,22FEB16:16:02:29,59,247.853779,80.78432,88,130,1460,59,9,28.41,80,14.26,7,14.901961,85,9.751155,257.91788,0
84,22FEB16:16:02:30,62,247.686892,65.09804,88,127,1501.5,62,9,29.27,80,14.26,7,14.901961,85,7.605593,201.1678,0
85,22FEB16:16:02:31,63,247.631263,61.960785,88,118,1233,63,10,23.8,78.82353,14.26,7,14.901961,85,6.184254,163.57341,0
86,22FEB16:16:02:32,63,247.631263,57.2549,89,110,1175,63,10,18.16,78.82353,14.26,7,14.901961,85,4.409619,116.63435,0
87,22FEB16:16:02:33,63,247.631263,57.2549,89,107,1169.5,63,10,17.72,78.82353,14.22,7,14.901961,85,3.962622,104.811264,0
88,22FEB16:16:02:34,63,247.631263,54.509804,89,107,1162.5,63,9,17.72,80,14.22,7,14.901961,85,3.962622,104.811264,0
89,22FEB16:16:02:35,61,247.742521,12.156863,89,106,1162.5,61,9,17.72,80,14.16,7,14.901961,85,3.962622,104.811264,0
89,22FEB16:16:02:35,61,247.742521,12.156863,89,106,1162.5,61,9,17.72,80,14.16,7,14.901961,85,3.962622,104.811264,0
90,22FEB16:16:02:36,61,247.742521,0,89,104,1082,61,9,16.58,80,14.34,7,36.07843,85,0,0,0
91,22FEB16:16:02:37,56,248.020666,34.901962,89,104,1382,56,10,25.19,80,14.28,7,43.52941,85,3.507796,92.78113,0
92,22FEB16:16:02:38,56,248.020666,34.901962,89,146,1462.5,56,10,33.52,80,14.28,7,43.52941,85,5.084543,134.48607,0
93,22FEB16:16:02:39,56,248.020666,37.64706,89,146,1490.5,56,10,33.52,80,14.28,7,43.52941,85,5.084543,134.48607,0
94,22FEB16:16:02:40,62,247.686892,37.64706,89,119,1471.5,62,10,25.83,80,14.2,7,43.52941,85,4.228898,111.85429,0
95,22FEB16:16:02:41,62,247.686892,41.568626,89,119,1487.5,62,10,26.44,80,14.22,7,32.941177,85,3.909855,103.415596,0
96,22FEB16:16:02:42,62,247.686892,59.215687,89,119,1489.5,62,10,24.13,80,14.24,7,37.2549,86,3.945367,104.35487,0
97,22FEB16:16:02:43,64,247.575634,59.215687,89,117,1532.5,64,10,26.91,80,14.24,7,14.901961,86,6.134999,162.27061,0
98,22FEB16:16:02:44,64,247.575634,5.882353,89,107,1429,64,10,26.91,80,14.26,7,26.27451,87,6.134999,162.27061,0
99,22FEB16:16:02:45,62,247.686892,1.568628,89,107,1143.5,62,10,17.88,80,14.16,7,14.901961,87,1.39443,36.882656,0
99,22FEB16:16:02:45,62,247.686892,1.568628,89,107,1143.5,62,10,17.88,80,14.16,7,14.901961,87,1.39443,36.882656,0
100,22FEB16:16:02:46,62,247.686892,0,89,107,1121.5,62,10,17.72,80,14.16,7,14.901961,87,0,0,0
101,22FEB16:16:02:47,62,247.686892,7.450981,89,107,1121.5,62,10,17.16,80,14.28,7,20.392157,87,0,0,0
102,22FEB16:16:02:48,58,247.909408,5.882353,89,106,1070,58,10,16.47,80,14.24,7,21.960785,87,0,13.685228,0
103,22FEB16:16:02:49,58,247.909408,5.882353,89,106,1070,58,10,16.08,80,14.22,7,18.82353,87,0,11.614368,0
103,22FEB16:16:02:49,58,247.909408,5.882353,89,106,1070,58,10,16.08,80,14.22,7,18.82353,87,0,11.614368,0
104,22FEB16:16:02:50,57,247.965037,45.09804,89,106,1070,57,10,16.08,80,14.22,7,38.82353,87,0,11.614368,0
105,22FEB16:16:02:51,58,247.909408,60.39216,89,119,1468,58,10,23.77,80,14.26,7,27.843138,87,6.103691,161.4425,0
106,22FEB16:16:02:52,59,247.853779,60.39216,89,108,1468,59,10,23.77,80,14.24,7,14.901961,87,6.103691,161.4425,0
106,22FEB16:16:02:52,59,247.853779,60.39216,89,108,1468,59,10,23.77,80,14.24,7,14.901961,87,6.103691,161.4425,0
107,22FEB16:16:02:53,59,247.853779,0,89,107,1350.5,59,10,23.38,80,14.24,7,14.901961,87,0,0,0
108,22FEB16:16:02:54,56,248.020666,14.117647,89,106,1373,56,10,23.19,80,14.2,7,29.411766,87,1.426491,37.73066,0
108,22FEB16:16:02:54,56,248.020666,14.117647,89,106,1373,56,10,23.19,80,14.2,7,29.411766,87,1.426491,37.73066,0
109,22FEB16:16:02:55,56,248.020666,16.862745,89,110,1327,56,10,23.52,80,14.28,7,26.666668,87,1.472626,38.950924,0
110,22FEB16:16:02:56,55,248.076295,16.862745,89,112,1305.5,55,10,23.52,80,14.28,7,25.09804,87,1.472626,38.950924,0
110,22FEB16:16:02:56,55,248.076295,16.862745,89,112,1305.5,55,10,23.52,80,14.28,7,25.09804,87,1.472626,38.950924,0
111,22FEB16:16:02:57,55,248.076295,49.019608,89,108,1327.5,55,10,22.19,80,14.22,7,32.54902,86,1.675851,44.326237,0
111,22FEB16:16:02:57,55,248.076295,49.019608,89,108,1327.5,55,10,22.19,80,14.22,7,32.54902,86,1.675851,44.326237,0
112,22FEB16:16:02:58,55,248.076295,47.45098,88,106,1347,55,10,22.19,79.21569,14.22,7,32.54902,86,1.675851,44.326237,0
113,22FEB16:16:02:59,57,247.965037,47.45098,88,140,1407,57,10,32.44,79.60784,14.16,7,38.039215,86,6.604488,174.68858,0
114,22FEB16:16:03:00,57,247.965037,47.45098,88,115,1458,57,10,32.44,79.60784,14.16,7,25.490196,86,6.604488,174.68858,0
115,22FEB16:16:03:01,60,247.79815,3.137255,88,103,1426.5,60,10,23.33,80,14.26,7,14.901961,86,0,0,0
116,22FEB16:16:03:02,58,247.909408,2.352941,88,109,1426.5,58,10,23.33,80,14.26,7,14.901961,86,0,0,0
117,22FEB16:16:03:03,57,247.965037,12.941176,88,107,1375,57,10,23.36,80,14.18,7,34.509804,86,1.300823,34.406742,0
118,22FEB16:16:03:04,57,247.965037,10.196078,88,106,1367,57,10,23.36,80,14.18,7,23.137255,86,1.300823,34.406742,0
119,22FEB16:16:03:05,57,247.965037,10.196078,88,110,1365,57,10,24.66,80,14.28,7,25.490196,86,1.119253,29.604233,0
120,22FEB16:16:03:06,58,247.909408,10.196078,88,105,1425,58,10,23.41,80,14.28,7,32.156864,86,0,28.103611,0
121,22FEB16:16:03:07,58,247.909408,38.82353,88,105,1410.5,58,10,22.52,80,14.3,7,32.156864,86,0,26.569048,0
122,22FEB16:16:03:08,60,247.79815,38.82353,88,110,1419.5,60,10,22.74,80,14.3,7,32.156864,86,3.708286,98.08411,0
122,22FEB16:16:03:08,60,247.79815,38.82353,88,110,1419.5,60,10,22.74,80,14.3,7,32.156864,86,3.708286,98.08411,0
123,22FEB16:16:03:09,59,247.853779,1.176471,88,110,1399.5,59,10,25.08,80,14.16,7,28.235294,86,0,0,0
123,22FEB16:16:03:09,59,247.853779,1.176471,88,110,1399.5,59,10,25.08,80,14.16,7,28.235294,86,0,0,0
124,22FEB16:16:03:10,58,247.909408,1.176471,88,110,1399.5,58,10,25.08,80,14.22,7,25.882353,86,0,0,0
125,22FEB16:16:03:11,58,247.909408,28.62745,88,105,1468,58,10,25.08,80,14.24,7,30.980392,86,0,0,0
126,22FEB16:16:03:12,62,247.686892,72.94118,88,124,1507.5,62,10,30.49,78.43137,14.2,7,38.039215,86,8.36195,221.17342,0
126,22FEB16:16:03:12,62,247.686892,72.94118,88,124,1507.5,62,10,30.49,78.43137,14.2,7,38.039215,86,8.36195,221.17342,0
127,22FEB16:16:03:13,64,247.575634,62.352943,88,124,1507.5,64,10,30.49,78.43137,14.18,7,34.901962,86,8.36195,221.17342,0
128,22FEB16:16:03:14,64,247.575634,62.352943,88,124,1507.5,64,10,30.49,80,14.16,7,32.54902,86,8.36195,221.17342,0
129,22FEB16:16:03:15,67,247.408747,99.60784,88,114,1507.5,67,10,23.99,80,14.16,7,49.019608,86,5.772212,152.6749,0
129,22FEB16:16:03:15,67,247.408747,99.60784,88,114,1507.5,67,10,23.99,80,14.16,7,49.019608,86,5.772212,152.6749,0
130,22FEB16:16:03:16,69,247.297489,99.60784,88,114,1698,69,10,23.99,80,14.16,7,49.80392,86,5.772212,152.6749,0
135,22FEB16:16:03:21,90,246.12928,0.392157,89,115,1384.5,90,11,28.08,79.60784,14.22,7,14.901961,87,0,22.610952,0
136,22FEB16:16:03:22,88,246.240538,3.529412,89,115,1371,88,11,23.88,80,14.32,7,14.901961,88,0,0,0
137,22FEB16:16:03:23,88,246.240538,2.745098,89,109,1350,88,11,23.11,80,14.16,7,27.450981,88,0,0,0
137,22FEB16:16:03:23,88,246.240538,2.745098,89,109,1350,88,11,23.11,80,14.16,7,27.450981,88,0,0,0
138,22FEB16:16:03:24,86,246.351796,22.745098,89,110,1341,86,11,24.22,74.5098,14.16,7,27.450981,88,1.563802,41.362545,0
139,22FEB16:16:03:25,86,246.351796,22.745098,89,137,1401,86,11,30.16,80,14.22,7,40,88,1.947328,51.506786,0
140,22FEB16:16:03:26,90,246.12928,99.60784,89,164,1401,90,11,36.27,80,14.16,7,41.568626,88,10.710682,283.29733,0
140,22FEB16:16:03:26,90,246.12928,99.60784,89,164,1401,90,11,36.27,80,14.16,7,41.568626,88,10.710682,283.29733,0
141,22FEB16:16:03:27,93,245.962393,94.90196,89,162,1401,93,11,37.11,80,14.16,7,38.82353,88,9.933553,262.74228,0
142,22FEB16:16:03:28,95,245.851135,94.90196,89,158,1401,95,12,37.47,80,14.16,7,38.82353,88,9.706371,256.73334,0
143,22FEB16:16:03:29,97,245.739877,76.86275,89,151,1531.5,97,12,34.94,80,14.16,7,36.47059,88,7.216444,190.87482,0
144,22FEB16:16:03:30,99,245.628619,14.901961,89,151,1531.5,99,11,34.91,80,14.16,7,36.47059,88,6.911163,182.80014,0
144,22FEB16:16:03:30,99,245.628619,14.901961,89,151,1531.5,99,11,34.91,80,14.16,7,36.47059,88,6.911163,182.80014,0
145,22FEB16:16:03:31,98,245.684248,0,90,103,1531.5,98,11,20.77,80,14.18,7,14.901961,88,0,20.481411,0
146,22FEB16:16:03:32,97,245.739877,0,90,103,1199,97,11,19.11,80,14.26,7,14.901961,88,0,0,0
146,22FEB16:16:03:32,97,245.739877,0,90,103,1199,97,11,19.11,80,14.26,7,14.901961,88,0,0,0
147,22FEB16:16:03:33,97,245.739877,0,90,107,1190.5,97,11,18.94,80,14.18,7,14.901961,88,0,0,0
148,22FEB16:16:03:34,96,245.795506,14.117647,90,107,1187.5,96,11,19.11,80,14.2,7,14.901961,88,0,0,0
149,22FEB16:16:03:35,96,245.795506,36.47059,90,107,1191,96,11,19.11,76.07843,14.16,7,35.686275,88,0,0,0
149,22FEB16:16:03:35,96,245.795506,36.47059,90,107,1191,96,11,19.11,76.07843,14.16,7,35.686275,88,0,0,0
150,22FEB16:16:03:36,96,245.795506,36.47059,90,107,1185,96,11,19.33,76.07843,14.16,7,14.901961,88,1.787843,47.28842,0
151,22FEB16:16:03:37,96,245.795506,15.294118,90,107,1185,96,11,19.33,80,14.18,7,14.901961,88,1.787843,47.28842,0
152,22FEB16:16:03:38,96,245.795506,0.784314,89,105,1176,96,11,19.33,80,14.18,7,14.901961,88,1.787843,47.28842,0
153,22FEB16:16:03:39,94,245.906764,0,89,105,1140.5,94,11,18.19,80,14.18,7,14.901961,88,0,0,0
154,22FEB16:16:03:40,94,245.906764,0,89,105,1121.5,94,11,17.86,80,14.24,7,14.901961,88,0,0,0
155,22FEB16:16:03:41,91,246.073651,0,89,106,1130,91,11,18.02,80,13.98,7,36.07843,88,0,0,0
156,22FEB16:16:03:42,91,246.073651,56.078434,89,114,1491,91,11,28.13,80,14.2,7,41.17647,87,4.26208,112.73195,0
157,22FEB16:16:03:43,92,246.018022,56.078434,89,148,1505,92,11,35.36,80,14.16,7,38.039215,87,5.357524,141.70644,0
158,22FEB16:16:03:44,93,245.962393,33.72549,89,133,1472,93,11,29.16,80,14.14,7,38.039215,87,4.370116,115.5895,0
159,22FEB16:16:03:45,92,246.018022,33.72549,89,108,1258.5,92,11,24.05,79.60784,14.16,7,39.607845,87,2.122284,56.134377,0
159,22FEB16:16:03:45,92,246.018022,33.72549,89,108,1258.5,92,11,24.05,79.60784,14.16,7,39.607845,87,2.122284,56.134377,0
160,22FEB16:16:03:46,92,246.018022,22.745098,89,107,1259,92,10,18.77,79.60784,14.16,7,20.784313,87,1.674356,44.28669,0
161,22FEB16:16:03:47,92,246.018022,22.745098,89,110,1259,92,10,23.16,80,14.16,7,14.901961,87,1.397838,36.972797,0
161,22FEB16:16:03:47,92,246.018022,22.745098,89,110,1259,92,10,23.16,80,14.16,7,14.901961,87,1.397838,36.972797,0
162,22FEB16:16:03:48,85,246.407425,3.137255,89,107,1334,85,10,22.88,79.60784,14.16,7,14.901961,87,0,0,0
163,22FEB16:16:03:49,83,246.518683,12.54902,89,106,1282,83,10,21.83,80,14.2,7,14.901961,87,0,0,0
164,22FEB16:16:03:50,81,246.629941,47.84314,89,106,1271.5,81,10,22.13,80,14.2,7,14.901961,87,0,22.128342,0
164,22FEB16:16:03:50,81,246.629941,47.84314,89,106,1271.5,81,10,22.13,80,14.2,7,14.901961,87,0,22.128342,0
165,22FEB16:16:03:51,81,246.629941,67.84314,89,121,1564.5,81,10,29.66,80,14.16,7,44.705883,87,4.285361,113.34771,0
165,22FEB16:16:03:51,81,246.629941,67.84314,89,121,1564.5,81,10,29.66,80,14.16,7,44.705883,87,4.285361,113.34771,0
166,22FEB16:16:03:52,82,246.574312,98.039215,89,140,1539.5,82,10,39.02,80,14.16,7,44.705883,86,8.105279,214.38449,0
166,22FEB16:16:03:52,82,246.574312,98.039215,89,140,1539.5,82,10,39.02,80,14.16,7,44.705883,86,8.105279,214.38449,0
167,22FEB16:16:03:53,83,246.518683,98.039215,88,179,1538.5,83,11,43.55,80,14.1,7,34.901962,86,13.256046,350.6222,0
167,22FEB16:16:03:53,83,246.518683,98.039215,88,179,1538.5,83,11,43.55,80,14.1,7,34.901962,86,13.256046,350.6222,0
